machineId,windowStart,windowEnd,sampleCount,cycleStart,cycleEnd,pressureMin,pressureMax,pressureAvg,pressureStd,pressureTrend,temperatureMin,temperatureMax,temperatureAvg,temperatureStd,temperatureTrend,speedMin,speedMax,speedAvg,speedStd,speedTrend,rul,riskLabel,reviewLabel,reviewer,alertId
33,1777394730000,1777394730000,6,1,54,600.0,610.0,605.0,0.5,0.0,1500.0,1510.0,1505.0,0.5,0.0,1300.0,1310.0,1305.0,0.5,0.0,,0,FALSE_POSITIVE,Student_C,mock_normal_001
33,1777394610000,1777394610000,6,1,50,640.0,645.0,642.0,1.0,0.1,1580.0,1585.0,1583.0,1.0,-0.1,1390.0,1400.0,1396.0,2.0,0.2,,1,TRUE_POSITIVE,Student_C,mock_001
33,1777394640000,1777394640000,6,1,51,643.0,647.0,645.0,1.0,0.2,1582.0,1587.0,1585.0,1.0,0.1,1395.0,1405.0,1398.0,2.0,0.1,,1,TRUE_POSITIVE,Student_C,mock_002
32,1777394610000,1777394610000,6,1,40,628.0,632.0,630.0,1.0,0.0,1568.0,1572.0,1570.0,1.0,0.0,1378.0,1382.0,1380.0,2.0,0.0,,1,TRUE_POSITIVE,Student_C,mock_003
31,1777394610000,1777394610000,6,1,60,646.0,650.0,648.0,1.0,0.3,1588.0,1592.0,1590.0,1.0,0.2,1402.0,1408.0,1405.0,2.0,0.3,,1,TRUE_POSITIVE,Student_C,mock_004
33,1777394670000,1777394670000,6,1,52,639.0,643.0,641.0,1.0,-0.1,1580.0,1584.0,1582.0,1.0,-0.2,1392.0,1398.0,1395.0,2.0,-0.1,,1,TRUE_POSITIVE,Student_C,mock_005
32,1777394640000,1777394640000,6,1,41,630.0,634.0,632.0,1.0,0.1,1570.0,1574.0,1572.0,1.0,0.1,1380.0,1385.0,1382.0,2.0,0.1,,1,TRUE_POSITIVE,Student_C,mock_006
35,1777394610000,1777394610000,6,1,70,648.0,652.0,650.0,1.0,0.4,1592.0,1598.0,1595.0,1.0,0.3,1408.0,1412.0,1410.0,2.0,0.4,,1,TRUE_POSITIVE,Student_C,mock_007
35,1777394640000,1777394640000,6,1,71,650.0,654.0,652.0,1.0,0.2,1595.0,1600.0,1598.0,1.0,0.1,1410.0,1415.0,1412.0,2.0,0.2,,1,TRUE_POSITIVE,Student_C,mock_008
31,1777394640000,1777394640000,6,1,61,647.0,651.0,649.0,1.0,0.1,1589.0,1593.0,1591.0,1.0,0.1,1403.0,1409.0,1406.0,2.0,0.1,,1,TRUE_POSITIVE,Student_C,mock_009
33,1777394700000,1777394700000,6,1,53,641.0,645.0,643.0,1.0,0.1,1582.0,1586.0,1584.0,1.0,0.1,1395.0,1399.0,1397.0,2.0,0.1,,1,TRUE_POSITIVE,Student_C,mock_010
33,1777394580000,1777394610000,6,3,53,641.87,642.19,642.03,0.09,-0.13,1580.43,1586.44,1583.24,1.99,-1.88,1394.84,1399.01,1396.66,1.34,2.36,85.99,1,TRUE_POSITIVE,Student_C,alert_mock_001
