machine_id,row_cnt,max_cycle
1,192,192
2,287,287
3,179,179
4,189,189
5,269,269
6,188,188
7,259,259
8,150,150
9,201,201
10,222,222
11,240,240
12,170,170
13,163,163
14,180,180
15,207,207
16,209,209
17,276,276
18,195,195
19,158,158
20,234,234
21,195,195
22,202,202
23,168,168
24,147,147
25,230,230
26,199,199
27,156,156
28,165,165
29,163,163
30,194,194
31,234,234
32,191,191
33,200,200
34,195,195
35,181,181
36,158,158
37,170,170
38,194,194
39,128,128
40,188,188
41,216,216
42,196,196
43,207,207
44,192,192
45,158,158
46,256,256
47,214,214
48,231,231
49,215,215
50,198,198
51,213,213
52,213,213
53,195,195
54,257,257
55,193,193
56,275,275
57,137,137
58,147,147
59,231,231
60,172,172
61,185,185
62,180,180
63,174,174
64,283,283
65,153,153
66,202,202
67,313,313
68,199,199
69,362,362
70,137,137
71,208,208
72,213,213
73,213,213
74,166,166
75,229,229
76,210,210
77,154,154
78,231,231
79,199,199
80,185,185
81,240,240
82,214,214
83,293,293
84,267,267
85,188,188
86,278,278
87,178,178
88,213,213
89,217,217
90,154,154
91,135,135
92,341,341
93,155,155
94,258,258
95,283,283
96,336,336
97,202,202
98,156,156
99,185,185
100,200,200
